name,elo_Hard,elo_Clay,elo_Grass,matches_Hard,matches_Clay,matches_Grass,elo_overall
Martin Sinner,1509.3804872661992,1476.7168973203125,1438.465562780914,31,31,7,1517.1084175131691
Karim Alami,1480.1913779680226,1540.8216506509884,1476.639988913784,80,232,15,1517.0820672687712
Dimitar Kutrovsky,1509.5239768439803,1543.2335174136936,,7,4,0,1516.9758126522013
Daniel Chavez Morales,1516.9130817667224,,,6,0,0,1516.913081766722
Norbert Mazany,,1516.7686599091537,,0,2,0,1516.7686599091537
Fazaluddin Syed,1467.1430724225484,,1541.5403925075796,3,0,6,1516.741285812569
Mostafa Saleh,1516.67180744723,,,2,0,0,1516.67180744723
Rafael Arevalo,1509.117899187945,1524.7586052570496,,14,13,0,1516.6486095175137
Kris Van Wyk,1516.606407161364,,,2,0,0,1516.606407161364
Cezar Cretu,1516.563257192696,,,2,0,0,1516.563257192696
Denis Kudla,1511.9886603052255,1437.6091793998005,1564.2627802033378,128,24,52,1516.5629088001847
Ashkan Shokoofi,1483.263693206478,1524.0779280937095,,2,9,0,1516.5560568658725
Michal Chmela,1517.8965020419446,1515.0945855179266,,4,4,0,1516.4955437799356
Nicolas Thomann,1552.006615182334,1451.8528384963772,1506.085836854988,19,7,3,1516.410721896196
Carlos Costa,1460.880400449357,1544.0755150034631,1505.984286210068,87,285,7,1516.3691407273234
Nicolas Kischkewitz,,1516.299886510137,,0,2,0,1516.299886510137
Matias Silva,1484.0,1525.5196019731145,,2,7,0,1516.293023756867
Konstantin Don Gruber,1516.1999221730953,,,2,0,0,1516.1999221730953
Nicolas Kicker,1510.521560921914,1518.5786877186554,1500.0,12,35,1,1516.1773500253312
Kuan Yi Lee,1516.0924216195583,,,4,0,0,1516.0924216195583
Romano Tatuhey,1516.0791143619422,,,4,0,0,1516.0791143619422
Bill Barber,1516.074501941946,,,2,0,0,1516.074501941946
Nicholas Sayer,1516.0447938272002,,,4,0,0,1516.0447938272002
Martin Damm,1516.0428914317984,,,3,0,0,1516.0428914317984
Marco Osorio,1518.040547703563,1500.0,,8,1,0,1516.0360424031671
Nicolas Renavand,1516.0293901083817,,,2,0,0,1516.0293901083817
Lukas Hellum Lilleengen,1516.0,,,2,0,0,1516.0
Marcus Daniell,1516.0,,,2,0,0,1516.0
Eddy Chala,,1516.0,,0,2,0,1516.0
Adrian Marcu,,1516.0,,0,2,0,1516.0
Oscar Bustos,,,,0,0,0,1516.0
Bruno Soares,,1516.0,,0,2,0,1516.0
Oliver Ojakaar,,1516.0,,0,2,0,1516.0
Jean Michel Durango,,1516.0,,0,2,0,1516.0
Marcelo Barboza,,1516.0,,0,2,0,1516.0
Toufiq Zhalan,1516.0,,,2,0,0,1516.0
Gonzales Austin,1516.0,,,2,0,0,1516.0
Alexandros Skorilas,1516.0,,,2,0,0,1516.0
Ioannis Xilas,1516.0,,,2,0,0,1516.0
David Jorda Sanchis,,1516.0,,0,2,0,1516.0
Vimuktha De Alwis,,1516.0,,0,2,0,1516.0
Olaf Pieczkowski,1516.0,,,2,0,0,1516.0
Dragos Dima,1516.0,,,2,0,0,1516.0
Francisco Llanes,,1516.0,,0,2,0,1516.0
Daniil Glinka,1516.0,,,2,0,0,1516.0
Emile Ngoran,1515.996400832436,,,2,0,0,1515.996400832436
Solon Peppas,1525.16149968555,1516.0463922881916,,6,15,0,1515.9230916789852
Bastian Trinker,,1515.7960031723476,,0,3,0,1515.7960031723476
Adolfo Daniel Vallejo,,1515.79000317005,,0,4,0,1515.79000317005
Thomas Gollwitzer,1500.0,1475.726195077042,,1,5,0,1515.7116513425656
Sergiy Stakhovsky,1522.8638720162444,1492.289200411146,1531.5414267316166,236,88,54,1515.635994160694
Joaquin  Aguilar Cardozo ,,1515.5260640269871,,0,4,0,1515.5260640269871
Giles Hussey,,,1515.5181996673657,0,0,2,1515.5181996673657
Abdullah Maqdas,1502.7898278542762,1542.8281245974013,,13,6,0,1515.43350051
Federico Delbonis,1409.7898355923742,1565.613655400011,1373.9826755267609,103,250,12,1515.3412575954476
Filip Aniola,,1515.2670180446532,,0,2,0,1515.2670180446532
Filip Cristian Jianu,1515.263693206478,,,2,0,0,1515.263693206478
James Auckland,1515.2515928482571,,,3,0,0,1515.2515928482571
Petar Jelenic,1515.2388724650075,,,2,0,0,1515.2388724650075
Shahar Perkiss,1515.23265245023,,,2,0,0,1515.23265245023
Florian Krumrey,,1515.2227455068894,,0,2,0,1515.2227455068894
Bruno Rodriguez,,1514.7764651070815,,0,4,0,1515.1843100713877
Omar Hedayet,,1515.1812517279157,,0,2,0,1515.1812517279157
Santiago Ventura,1420.4336326935083,1538.4700245037573,1417.7922678443072,12,78,7,1515.1588801909827
Gabriel Trujillo Soler,,1515.1261806107082,,0,2,0,1515.1261806107082
Harold Mayot,1531.4140438500158,1483.4968155992349,1502.549596600505,12,5,3,1515.105069699894
Alex Diaz,1515.053108239041,,,4,0,0,1515.053108239041
Toshihide Matsui,1518.0282722057295,,,5,0,0,1515.0235601714412
Andrey Golubev,1520.4010288264308,1524.021420028912,1412.1361080999284,111,61,11,1515.0180326662862
Joao Sousa,1553.9833440374516,1476.4173361200803,1454.889887821917,251,194,39,1514.9080334416335
Dimitri Muzyka,,1514.841544375547,,0,2,0,1514.841544375547
Jacopo Berrettini,1514.8095505450572,,,2,0,0,1514.8095505450572
Stefano Ianni,,1514.6843626047378,,0,2,0,1514.6843626047378
Max Purcell,1515.9619813772715,1484.0574169651418,1528.505518415933,55,11,19,1514.637004850226
Corrado Borroni,,1514.630994545844,,0,5,0,1514.630994545844
Ivan Beros,,1514.6168433539483,,0,2,0,1514.6168433539483
Omni Kumar,1514.6134955723376,,,5,0,0,1514.6134955723376
Jahanbakhsh Souri,1514.597626351594,,,2,0,0,1514.597626351594
Alvaro Guillen Meza,,1514.5700764195697,,0,2,0,1514.5700764195697
Hazem Naw,1514.5641271217237,,,2,0,0,1514.5641271217237
Vittaya Samrej,1514.5171954128114,,,4,0,0,1514.5171954128114
Eric Taino,1519.394392900003,1470.5046240569484,,30,3,0,1514.5101664462038
Claudio Pistolesi,1452.1720145236748,1522.66754856203,1500.0,4,32,1,1514.4337732994502
Duje Ajdukovic,1503.9724010816817,1519.149949531093,,5,11,0,1514.406965640652
Michal Mertinak,1529.9306287467614,1525.6842571020618,1483.7054047869794,6,12,7,1514.3743342774678
Dave Randall,1520.137433193761,,1466.575996169703,16,0,3,1514.35081814676
Austin Krajicek,1523.0303408883046,1486.7353813321045,1474.413939806045,29,2,5,1514.261676318202
Raemon Sluiter,1534.2676570683757,1504.9147488281308,1526.7051445439477,86,62,49,1514.2137893023323
Mischa Zverev,1509.7962568713674,1487.309118059207,1564.081726439542,194,79,60,1514.1999932517815
Clement Morel,,1514.196782979977,,0,2,0,1514.196782979977
Yaraslav Shyla,1516.51454813155,1500.0,,6,1,0,1514.1553269699
Patrick Kypson,1522.707312411008,1483.9098077646606,,7,2,0,1514.0856447118194
Igor Kornienko,1500.0,1500.0,,1,1,0,1514.0724996045603
Martin Pedersen,1493.724413539106,1542.7530554200323,,12,10,0,1514.0320930679468
Kristjan Tamm,1531.0773292400602,1488.4636005093107,,3,2,0,1514.0318377477604
Rabie Chaki,1516.3659235550583,1512.5812285336249,,2,6,0,1514.0219218311863
Joao Domingues,1516.0,1513.6460909114496,,2,12,0,1513.9823636383856
Daniel Altmaier,1517.8965470226688,1528.9072708620836,1434.8160377084455,53,60,14,1513.9399824554698
Jan Michael Gambill,1532.9749309857418,1363.6889284385989,1561.8544629477897,290,47,44,1513.9049173574947
Cheuk Wai Hui,1513.8431902028783,,,2,0,0,1513.8431902028783
Jonathan Chu,1513.7267535163844,,,4,0,0,1513.7267535163844
Alvaro Jordan,,1513.6948048000495,,0,4,0,1513.6948048000495
Maks Kasnikowski,1513.5273228584824,,,4,0,0,1513.5273228584824
Dmitri Tomashevich,1506.7061861586783,1526.3087515569457,1516.0,14,7,2,1513.4803420487003
Santiago Gonzalez,1518.0823450489838,1516.9396581088624,1500.0,4,15,1,1513.382920537676
Peter Clarke,,1531.0827785037975,,0,7,0,1513.3024654361031
Daniel King Turner,1514.8378052418589,1501.3712404313271,1520.001420998983,23,3,2,1513.2891753053343
Simon Stadler,1522.638230285488,,1503.8602670558744,8,0,8,1513.249248670681
Manuel Guinard,1518.4920647624658,1507.8588122161432,,5,5,0,1513.1754384893045
Stefano Napolitano,1500.0,1516.435255964658,1500.0,1,8,1,1513.1482047717263
Marcio Carlsson,1500.0,1514.114226923645,,1,13,0,1513.1060678576705
Carlos Cuadrado,,1513.0910213089862,,0,8,0,1513.0910213089862
Edgardo Massa,1517.4478729943269,1512.562043768057,1500.0,5,18,1,1513.0565063665274
Tj Middleton,1500.0,,,1,0,0,1513.044526534354
Hernan Gumy,1488.8433233812325,1523.16886355023,1467.2894369989865,66,174,3,1513.0014175651454
Martin Sayer,1511.8746756719795,1516.0317873848655,,6,2,0,1512.913953600201
Howard Joffe,1512.9003986652206,,,2,0,0,1512.9003986652206
Miguel Nido,,1512.8822531351889,,0,6,0,1512.8822531351889
Noam Behr,1516.6715840624645,1485.1546062320258,,18,2,0,1512.8760821708763
Kepler Orellana,1536.1372583498603,1489.602507176551,,6,6,0,1512.869882763206
Ugo Blanchet,1500.0,1519.13433712485,,1,2,0,1512.7562247499
Terence Chia,1512.6786416157115,,,4,0,0,1512.6786416157115
Maxime Huard,,,,0,0,0,1512.6595034101845
Juan Ignacio Londero,1461.0055438230063,1530.0637391565197,1486.2206483912416,19,62,4,1512.56399710478
Thomas Yaka Kofi Setodji,1512.4973188381198,,,4,0,0,1512.4973188381198
Anton Tsymbalov,1516.0,1515.1994048765962,,2,2,0,1512.4797619506385
Chia Yen Tsai,1518.9923405021675,1505.593017888296,,14,5,0,1512.4694217367537
Andres Filimonov,1500.0,1504.2349518519463,,1,12,0,1512.387657572336
Mohammed Reza Tavakoli,1508.751267776013,1515.287506165898,,8,10,0,1512.382511325949
John Doran,1500.0952521871664,1499.224473554128,,3,7,0,1512.3399159003309
Andreas Fikas,,1531.1995875226887,,0,3,0,1512.3197525136134
Henri Laaksonen,1492.9370767942908,1538.1484019076013,1482.5603430580727,69,54,2,1512.302341503461
Andreas Seppi,1529.1458474270332,1455.6527727544972,1595.8601194184678,416,268,112,1512.1904399039015
Mats Moraing,,1518.1760985914111,1500.0,0,2,1,1512.117399060941
Hisham Hemeda,,1515.0882440006278,,0,4,0,1512.0705952005023
Robin Vik,1500.678284895612,1526.621036238418,1476.6964132134772,21,23,5,1512.0642525997905
Nishesh Basavareddy,1512.0481921453518,,,3,0,0,1512.0481921453518
Gerald Melzer,1412.3698061165917,1554.017078399542,,16,38,0,1512.0475162416308
Jurgen Zopp,1492.4107246184778,1545.2164216827557,1469.6243528815996,31,25,3,1511.9726873536567
Chuhan Wang,1511.9674736354025,,,3,0,0,1511.9674736354025
Othman Al Anazi,1514.956317190689,1500.0,,4,1,0,1511.9650537525513
Tristan Lamasine,1513.4430460963483,1513.4455969737655,1500.0,3,5,1,1511.9507914619858
Victor Sendin,,1511.9111150628644,,0,3,0,1511.9111150628644
Albert Portas,1406.2047079845513,1539.4175890942768,1421.042111619356,49,268,14,1511.8548214383006
Woong Sun Jun,1527.5574389307783,1491.2617648156863,1500.0,12,8,1,1511.8537902588555
Andrea Stoppini,1518.0085763948982,1483.471766081428,,9,2,0,1511.7291563379038
Jesus Francisco Felix,1483.1871817435654,1530.557039510952,,2,3,0,1511.6090964039977
Michael Mcclune,1511.6084168747177,,,3,0,0,1511.6084168747177
Philip Davydenko,1500.0,1517.1165911142227,,1,2,0,1511.411060742815
Jimmy Connors,1523.6687638588105,1476.694807778566,1515.15542046842,34,9,4,1511.4000122072662
Henri Leconte,1510.045775315992,1422.7835244195587,1560.574584114912,24,44,25,1511.3489211943306
Adam Skrzypczak,,1513.9816775530778,,0,4,0,1511.1853420424625
Christian Camradt,,1516.7701398146428,,0,2,0,1511.180093209762
Francisco Fogues,,1511.1613434146486,,0,3,0,1511.1613434146486
Mansour Bahrami,1491.0498956478796,1522.8138254472888,,6,10,0,1510.9023517725104
Damir Dzumhur,1481.390240712137,1569.3408395030522,1572.8975950293882,181,73,18,1510.8528159239002
Ricardo Chile Fonte,1533.6058366218892,1453.9581474216109,,10,4,0,1510.8493539932383
West Nott,1512.5034107000702,,,6,0,0,1510.7172091714888
Isaac Donkor,1511.740819356086,1500.0,,10,1,0,1510.6734721418964
Sergey Makashin,1516.0,1500.0,,2,1,0,1510.6666666666667
Carlos Palencia,1516.0,1500.0,,2,1,0,1510.6666666666667
Tommi Lenho,,1516.0,,0,2,0,1510.6666666666667
Asiri Iddamalgoda,1516.0,1500.0,,2,1,0,1510.6666666666667
Kossi Loglo,1516.0,1500.0,,2,1,0,1510.6666666666667
Jae Sik Kim,1500.0,1516.0,,1,2,0,1510.6666666666667
Alexander Bury,1516.0,1500.0,,2,1,0,1510.6666666666667
Peter Wright,,1500.0,,0,1,0,1510.6666666666667
Jose Benitez,1500.0,1516.0,,1,2,0,1510.6666666666667
Rok Jarc,1500.0,1516.0,,1,2,0,1510.6666666666667
Seung Ho Ji,1500.0,,,1,0,0,1510.6666666666667
Ignacio Truyol,1504.291723079202,1513.3084281569177,,3,7,0,1510.603416633603
Stephen Noteboom,1515.8297535820147,1500.0,,2,1,0,1510.5531690546766
Michael Joyce,1525.991933158765,1452.9054979672044,1502.613926683467,80,6,16,1510.530615442961
Fred Hemmes,1521.0609635430046,1500.0,1500.0,2,1,1,1510.5304817715023
Matej Dodig,1500.0,1515.7893527811302,,1,2,0,1510.52623518742
Mohamed Ridaoui,1513.0608396372827,1509.227548463931,,4,8,0,1510.5053121883818
Alexis Klegou,1529.439774204475,1482.086526441229,,3,2,0,1510.4984750991766
Cassio Motta,1525.7076526700569,1486.3957673884825,,7,4,0,1510.4613865203607
Elias Ymer,1562.6141586365632,1439.638925615575,1477.8676535972395,67,48,3,1510.4357628727887
Denis Istomin,1476.7175479428204,1554.1965993942797,1563.7473079289073,290,131,76,1510.426985595714
Matthew Barton,1517.6772344838494,1514.8797724396522,1491.3143289339223,4,2,2,1510.3871425853183
Raviv Weidenfeld,1510.2808740263145,,,3,0,0,1510.2808740263145
Chris Haggard,,,1510.1820759969503,0,0,3,1510.1820759969503
Ryan Peniston,1500.0,,1511.023859654365,1,0,12,1510.175870450183
William Lock,,1515.263693206478,,0,2,0,1510.1757954709851
Vladyslav Manafov,1515.251615648962,1500.0,,2,1,0,1510.1677437659746
Andreas Vinciguerra,1501.0213455933172,1522.54025691578,1476.0674587031735,99,71,7,1510.1213090672927
Herkko Pollanen,1510.02468331785,,,3,0,0,1510.02468331785
Jonas Svensson,1549.2471407550158,1438.673973486574,1518.4355217926518,38,44,4,1510.001663355098
Johan Settergren,1485.365924464156,1522.26217014771,,2,4,0,1509.963421586525
Kristian Capalik,1505.0107162727847,1500.0,1516.1396967149258,3,1,4,1509.9488669597572
Lukasz Kubot,1473.4889170572233,1543.7439013793935,1531.8020208280511,104,97,25,1509.9200127679003
Syrym Abdukhalikov,1529.293728215855,1500.0,,3,1,0,1509.8951044979888
Colin Obrien,1509.0466792185262,1500.0,1516.0,3,1,2,1509.8566729425966
Alberto Martin,1411.2915133084366,1566.1643940957283,1437.9637915753449,153,304,25,1509.8426317313558
Jonathan Stark,1494.1955120812408,1447.1095172711994,1506.0276013825314,183,19,41,1509.7702897132503
Marc Andrea Huesler,1544.891139892031,1456.1775402082806,1467.8189175531909,49,26,8,1509.672689645185
Jonathan Canter,1511.5772100034328,,1500.0,5,0,1,1509.6476750028608
Sean Karam,1514.455509801306,1500.0,,2,1,0,1509.637006534204
Guillermo Olaso,1500.0,1511.5113880471988,,1,5,0,1509.5928233726656
Hyun Joon Kim,1514.3859687931456,1500.0,,2,1,0,1509.5906458620968
Jaume Munar,1406.1543545197846,1576.0721126349056,1409.8289486670258,74,136,14,1509.548369795311
Zoran Sevcenko,1500.0,1514.1641560361334,,1,2,0,1509.4427706907554
Johan Ortegren,1513.8747892182612,1500.0,,2,1,0,1509.2498594788406
Blaise Bicknell,1515.6055387785314,1500.674216464001,,4,3,0,1509.2064006437326
Peter Nagy,1500.0,1510.636821024806,,1,6,0,1509.1172751641195
Gregoire Barrere,1513.970354617957,1506.294738826104,1491.888863148063,60,28,13,1509.0002889617142
Melle Van Gemerden,1497.1006932330451,1523.9310199983374,1514.9505262127618,4,5,2,1508.9608254008006
Riccardo Bonadio,,1508.9605996488149,,0,3,0,1508.9605996488149
Arnau Brugues Davi,1511.9450792181835,1500.0,,3,1,0,1508.9588094136377
Duck Hee Lee,1508.8967184221617,,,3,0,0,1508.8967184221617
Aristotelis Thanos,1511.5817839649526,1500.0,,3,1,0,1508.6863379737144
Peter Moraing,1500.0,,1483.464215168683,1,0,2,1508.6375682636385
Arnaud Di Pasquale,1501.1691873061566,1514.7870962619193,1495.2943619217947,55,99,4,1508.62615995992
Billy Harris,1513.9860133506786,,1505.8624661693875,5,0,10,1508.570315229818
Zdenek Kolar,,1511.3992204491226,1500.0,0,3,1,1508.549415336842
Yannick Maden,1515.2499578848935,1501.2050703364305,1491.275736032724,15,9,2,1508.5440951294893
Miloslav Mecir Jr,1511.3579657557775,1500.0,,3,1,0,1508.5184743168331
Miguel Angel Lopez Jaen,,1508.5127368709432,,0,3,0,1508.512736870943
Osgar Ohoisin,1503.4074080952842,1516.0,,3,2,0,1508.4444448571703
Mohammed Khalid,1516.5684173464003,,1484.0,6,0,2,1508.4263130098002
Daniel Kosakowski,1508.4187187261946,,,3,0,0,1508.4187187261948
Alexander Ritschard,1527.680748546781,1496.8641649320168,1500.0,4,6,1,1508.3552712526566
Hao Lu,1505.9214864091743,1516.0659887712618,1500.0,3,2,1,1508.3160727950078
Artem Sitak,1522.551410681684,1483.44131511497,1483.0763516381576,7,2,2,1508.2632007525497
Ignacio Buse,1510.680410799031,1500.0,,3,1,0,1508.0103080992733
Vladimir Pavicevic,1500.0,1516.0,,1,2,0,1508.0
Ryler Deheart,1507.9900329567815,,,5,0,0,1507.9900329567815
Alexander Sadecky,,1507.911394852631,,0,3,0,1507.911394852631
Yannick Noah,1513.1523303815045,1500.0,,3,1,0,1507.8913982289027
Federico Mordegan,,1507.872505284211,,0,3,0,1507.872505284211
Jamie Morgan,1521.1877454780574,1460.664572957759,1525.1604744504343,75,19,19,1507.8302416100744
Bent Ove Pedersen,1495.7248486013827,,,3,0,0,1507.8140778583902
Frantisek Cermak,1452.6784351371791,1517.6361649075598,1523.9504000642469,4,19,2,1507.748066956834
Tihomir Grozdanov,1500.0,1511.6158870271568,,1,4,0,1507.743924684771
Andrea Arnaboldi,1500.0,1508.862135203568,1500.0,1,12,1,1507.5961158887726
Sanam Singh,1510.0742498189195,1500.0,,3,1,0,1507.5556873641897
Matwe Middelkoop,1514.8565769674308,1500.0,1500.0,2,1,1,1507.4282884837153
Guillaume Rufin,1530.6852182504838,1495.809117755291,1464.7512435146657,20,18,6,1507.4267260384752
Gilles Bastie,1507.3665108134312,,,3,0,0,1507.3665108134312
Adrian Cruciat,,1507.360199191598,,0,3,0,1507.3601991915978
Deniss Pavlovs,1500.0,1499.6952586995449,,1,7,0,1507.2593288218163
Radoslav Lukaev,1481.4686790757596,1515.7577196772938,,2,4,0,1507.239546657283
Eduardo Nicolas,,1507.207645674821,,0,7,0,1507.2076456748207
Matias Boeker,1509.0081923535831,1500.0,,4,1,0,1507.2065538828665
Fernando Samayoa,1516.7023986633528,1488.082999403035,,4,2,0,1507.1625989099136
Jordi Burillo,1403.3028678334224,1546.1281068531189,1517.6573643034744,54,148,14,1507.0830052268786
Cesar Ramirez,1496.98092856314,1509.562309750729,,3,15,0,1507.0724964184394
Gustavo Marcaccio,1500.0,1508.8356214605933,,1,4,0,1507.0684971684746
Frederico Ferreira Silva,1484.2397515001894,1526.5861470967866,,6,7,0,1507.041656821434
Felipe Meligeni Alves,1511.3350878608053,1503.1248121112003,1500.0,8,7,1,1507.0346492290528
Girts Dzelde,1456.1933763641823,1512.1581830450875,,4,19,0,1507.017648087848
Jeff Morrison,1515.81775498523,1468.3465194150026,1487.0813988086122,67,7,16,1507.0168622317026
Oriol Roca Batalla,,1506.986997174242,,0,3,0,1506.986997174242
Ivo Minar,1544.2127688144535,1500.26093808656,1412.3706651615162,44,44,13,1506.941341914644
Stefano Cobolli,,1506.9076183306972,,0,3,0,1506.9076183306972
Jui Chen Hung,1506.864698599386,,,8,0,0,1506.864698599386
Muhammad Khaliq Siddiq,1450.9400995745482,1513.5780474005546,1566.4091263481778,9,4,8,1506.8593379313606
Frederik Nielsen,1514.5067617705236,1461.2689116721551,1468.736306793522,33,11,3,1506.732765914324
Jaroslav Bulant,,1508.9757033638027,,0,3,0,1506.731777522852
Jose Imaz Ruiz,,1506.4042024642902,,0,9,0,1506.4042024642902
Ignacio Hirigoyen,1500.0,1508.4433460953292,,1,3,0,1506.3325095714968
Gian Marco Moroni,1500.0,1508.414734257586,,1,3,0,1506.3110506931894
Alexis Galarneau,1507.8628048324238,1500.0,,4,1,0,1506.290243865939
Philip Sekulic,1506.2699375055806,,,3,0,0,1506.2699375055806
Antoine Bellier,1503.058865296258,1479.240216267036,1543.0517221628602,4,5,4,1506.2033408593577
Chris Rodesch,1484.0,1517.2844479561193,,2,4,0,1506.189631970746
Dominik Meffert,1503.4569130633977,1509.9382760340266,1508.6598130417906,7,3,3,1506.1532814362488
Josselin Ouanna,1498.9128420500656,1515.9054886151343,,12,11,0,1506.1222861047245
Andrea Pellegrino,,1506.0643369126385,,0,3,0,1506.0643369126385
Jicham Zaatini,1516.7643161052197,1484.0,1485.412229197872,16,4,2,1506.0311787642277
Juan Pablo Ficovich,,1505.9866133573537,,0,3,0,1505.9866133573537
Christian Harrison,1504.3997562170705,1500.0,1510.0131093299365,9,1,5,1505.9775568402213
Eduardo Medica,,1505.9702984287262,,0,6,0,1505.9702984287262
M Abid Ali Khan Akbar,1511.8197380829697,1500.0,1500.0,2,1,1,1505.9098690414849
Fabio Maggi,,1505.900957082184,,0,6,0,1505.9009570821845
Viktor Galovic,,1512.6161239153091,1482.3051132395922,0,7,2,1505.8803437651495
Titouan Droguet,1507.8251812035223,1500.0,,3,1,0,1505.8688859026418
Andrew Foster,1500.0,,1506.4067862982736,1,0,9,1505.7661076684462
Oscar Otte,1475.3105399148203,1534.5096443324603,1551.6003466689594,47,21,18,1505.7337691513894
Sanchai Ratiwatana,1511.6455355425542,1490.840406713046,,6,2,0,1505.728225186824
Jurek Stasiak,1507.6158717685405,1500.0,,3,1,0,1505.7119038264054
Marcelo Demoliner,1505.659829851161,,,3,0,0,1505.659829851161
Amr Elsayed Abdou Ahmed Mohamed,1484.0,1516.4682523077422,,2,4,0,1505.6455015384947
Federico Luzzi,1478.267804081617,1515.2373223027907,,12,34,0,1505.5552235466116
Rikard Bergh,1505.521306438764,,,3,0,0,1505.5213064387638
Matteo Viola,1516.2477606331825,1475.760928460175,1485.6613617792927,12,3,2,1505.5046256786643
Grzegorz Panfil,1516.0,1484.1452533182244,,2,2,0,1505.381751106075
Tommy Ho,1508.472110286419,1476.138326007165,1499.5232189760904,50,3,10,1505.1779004286548
Murkel Alejandro Dellien Velasco,1484.0,1515.7300407777543,,2,4,0,1505.153360518503
Glenn Layendecker,1499.5096761772827,1500.0,,3,1,0,1505.0881714219747
Thomas Schiessling,,1505.057765625952,,0,13,0,1505.057765625952
Komlavi Loglo,1505.0563080749612,,,3,0,0,1505.056308074961
John Fitzgerald,1512.2505080497738,1500.0,1476.4029153762012,23,1,5,1505.02766141945
Sam Warburg,1505.3365397741827,,1500.0,14,0,1,1504.9807704559037
Lars Rehmann,1533.1833892207617,1487.679930903064,,16,4,0,1504.964470486882
Lucas Arnold Ker,1500.1208169218771,1506.3576278288897,1500.0,10,41,1,1504.940960569873
Mathieu Montcourt,1479.2872833005988,1514.1300519972654,,4,11,0,1504.8386470114876
Amine Ahouda,1500.0,1506.2964471088535,,1,6,0,1504.72233533164
Yan Bai,1504.6727513378107,,,13,0,0,1504.6727513378105
Antso Rakotondramanga,1487.518911182103,1529.0786404932048,,4,3,0,1504.6639457760034
Otto Virtanen,1509.128900502816,1488.931297709585,1490.1697149770232,20,4,2,1504.5631781095651
Ivan Gakhov,,1504.5334415142463,,0,4,0,1504.5334415142463
Treat Conrad Huey,1501.8892260488765,1507.4045026506133,,7,8,0,1504.5287877216902
Marc Abdulnour,1499.1294161220064,1517.913292038402,,5,2,0,1504.4962378124053
Adrian Graimprey,1483.7840393645654,,,2,0,0,1504.4959843872964
Denis Yevseyev,1490.1121307551423,1518.870029769095,,2,2,0,1504.4910802621189
Hady Habib,1575.6236135696088,1457.0376886713752,,6,9,0,1504.4720586306687
Steven Downs,1508.1570000336571,1485.8850383293616,,10,2,0,1504.4450064162745
Alex Bolt,1530.9837997700613,,1432.8702976883178,35,0,13,1504.4113929562557
Dias Doskarayev,1505.2806723937597,,,5,0,0,1504.400560328133
Uros Vico,1513.153428753604,1500.0,1500.0,2,1,1,1504.3998659867927
Albert Ramos,1443.3297746661804,1546.527834655887,1404.2716240653815,216,372,25,1504.3627674086777
Barry King,1505.7481784389645,,,3,0,0,1504.3111338292233
Wolfgang Schranz,1516.0,1507.0752129836565,1500.0,2,17,1,1504.2559527664305
Sergei Yaroshenko,1500.399889963786,1516.0,,5,2,0,1504.2499312273662
Simon Larose,1535.5844000821885,1446.3181016246583,,15,11,0,1504.2192133472292
Tomislav Ternar,1504.1360138526695,,,3,0,0,1504.1360138526695
Go Soeda,1509.9876530808383,1480.7489646108477,1442.5815514497056,106,13,17,1504.1135260699964
Jia Ping Xia,1585.467565203367,1543.6888097801575,1517.304486821214,12,6,4,1503.9753090219513
Amir Weintraub,1502.6961998004483,1508.9838615637696,1500.0,17,5,1,1503.9458567141942
Salvador Navarro,,1503.9229976566342,,0,11,0,1503.9229976566342
Eoin Collins,1458.8595339872415,1487.5179079357115,,4,2,0,1503.8286701491215
Michael Agwi,1491.404472399747,1516.1447265508646,,2,2,0,1503.774599475306
Kasidit Samrej,1503.7540178269978,,,5,0,0,1503.7540178269978
Louk Sorensen,1497.0719412577594,1515.6773869888043,,7,2,0,1503.7228130551675
Kevin Sorensen,1514.5025507058822,,1500.0,4,0,1,1503.715743260504
Gerald Mandl,1485.6094887545978,1511.6415498585789,,2,5,0,1503.6783408502613
Jirat Navasirisomboon,1531.3862629701457,1482.8085762918438,,3,4,0,1503.6275848682587
Adam Pavlasek,1470.7049351702467,1519.5529631024724,1497.7664459641123,4,9,2,1503.6219533687645
Amir Hadad,1513.2517894289904,1486.1903356433825,,9,5,0,1503.5869845055588
Joseph Sirianni,1512.5685361351816,,1474.7864492266146,16,0,5,1503.5728011569513
Nicola Kuhn,1513.145206319312,1494.19182210727,1492.9763771214532,6,4,2,1503.4659400489882
Dmitry Popko,1491.1732284962836,1520.65496038749,,7,5,0,1503.457283450953
Roberto Quiroz,1487.9931356099032,1527.0666900133049,1500.0,12,8,1,1503.450054639299
Milko Petkov,,1513.1281248226185,,0,4,0,1503.2271277133425
Vasilis Mazarakis,1499.6034140981924,1506.9399745260548,,6,10,0,1503.20772125537
Selvam Veerasingam,1507.5658041585789,,1486.753799725926,8,0,2,1503.094002974589
Bor Artnak,,1503.0511229623885,,0,5,0,1503.0511229623885
Ramesh Krishnan,1495.9140058406597,1505.2578639610376,1516.222265214548,10,7,4,1502.8968650948595
Romain Jouan,1503.574962159486,1500.0,,4,1,0,1502.8599697275888
Mariano Hood,,1502.809385595134,,0,11,0,1502.809385595134
Blaz Kavcic,1509.0938045403632,1515.3489409095655,1423.4730275482675,69,60,16,1502.7961649637923
Peng Sun,1516.2548588681627,1500.0,1484.0,17,1,2,1502.7823625977355
