name,elo_Hard,elo_Clay,elo_Grass,matches_Hard,matches_Clay,matches_Grass,elo_overall
Andy Murray,1620.1934987003576,1869.483827121128,1766.5355236889568,691,164,151,1681.6838024444082
Marin Cilic,1633.7425375688892,1742.3283803061925,1793.5052087166273,582,228,114,1678.4729762854702
Jordan Thompson,1747.724027439625,1456.771296734387,1609.3443081577088,197,44,60,1677.6087340577462
Jenson Brooksby,1730.5167183841347,1503.2787414856912,1513.58430990884,60,7,12,1677.4299495234684
Felix Auger Aliassime,1658.547980583126,1748.388082346835,1608.292831891141,238,90,36,1675.7909031265942
Jiri Novak,1736.4853962968566,1638.0170628714102,1551.370028776256,272,227,35,1675.779873097387
Magnus Gustafsson,1668.5399138607354,1665.4024962775402,1526.725119730654,105,232,29,1675.6145727346811
Roberto Bautista Agut,1688.2416954687517,1634.886728079832,1684.1972430412743,444,173,76,1674.4786539928912
Marat Safin,1679.221793055772,1637.1345971748417,1690.5100543077438,358,203,45,1672.2959209130536
David Goffin,1712.170431609154,1590.0190277339314,1629.251889610223,387,160,56,1672.0582210420305
Jeremy Chardy,1741.3926693644269,1600.442524154072,1527.5992433920046,335,209,63,1670.6718025024388
Arthur Fils,1695.6135433973004,1659.212369492344,1556.1656286910843,65,33,11,1670.520279171319
Petr Korda,1681.759643700775,1612.7240573136587,1674.877428525762,218,105,41,1669.2996465821632
Hyeon Chung,1671.3217743380744,1671.082519634203,1499.2452555922262,119,31,3,1667.899248507633
Thomas Muster,1699.5494029478764,1665.175902908109,1533.0251057914616,169,330,16,1663.103247712255
Jiri Lehecka,1689.9476651785071,1608.598675913188,1513.852232463305,103,31,10,1660.2061860508898
Emil Ruusuvuori,1727.723090179984,1497.5270898872668,1505.1695178702655,150,40,23,1659.712364642544
Jan Lennard Struff,1614.1048432080947,1766.1336101283462,1574.8622433587434,260,151,56,1658.5561455922366
Thanasi Kokkinakis,1702.6584784798235,1506.8310928105254,1489.4600974270545,135,25,13,1658.33903573174
Tallon Griekspoor,1707.3510302413345,1558.3635160202082,1571.2317478606658,123,40,27,1656.6419713301602
Brandon Nakashima,1692.5770365413275,1535.4108485661625,1579.6923924464147,127,23,26,1655.3621327350972
Tommy Haas,1647.0800640580692,1656.248722427388,1686.3481176817536,543,226,91,1655.122236377928
Matteo Arnaldi,1681.9507087201343,1628.9304785128234,1486.257126350115,55,33,4,1654.4241660427283
Guillermo Coria,1709.3977115694438,1637.5827803176462,1572.2831623971829,116,187,18,1654.1425248913258
Lleyton Hewitt,1642.976332589062,1623.2803981379589,1695.3716526452954,531,155,171,1651.192826415134
Todd Martin,1636.0706546332622,1620.2872832481814,1658.347944759113,349,111,80,1650.698799588013
Radek Stepanek,1660.3451239398853,1628.914915641339,1657.5707132016964,388,183,73,1649.9447147811495
